ra_epoch2000,dec_epoch2000,Source,Gmag,parallax,parallax_error,bp_rp,teff_val,a_g_val,e_bp_min_rp_val
116.0984407440932,-14.5369376883466,3029572417662613632,19.67,1.189,0.5531,2.137306,,,
115.4589456296361,-14.5427913608637,3029604479600977152,10.937,0.5497,0.0473,0.178167,8941.0,0.508,0.2515
115.5364469605757,-14.6676152858658,3029590284726033152,15.468,0.6207,0.0418,0.865653,5725.0,0.2205,0.1053
115.6800213571118,-14.4817207138127,3029600180333496064,19.409,0.2849,0.3627,1.982224,,,
115.4938200275307,-14.433204376604,3029610148956684032,14.717,0.5818,0.0284,0.807036,5824.0,1.2185,0.605
115.6765583517831,-14.7604911904991,3029585577441553536,19.033,0.6886,0.2816,1.884132,,,
115.7012944272173,-14.7086226284139,3029586402078076032,19.307,0.8787,0.3891,2.308294,,,
115.4690578482033,-14.5951952440783,3029603448808832640,13.557,0.6384,0.0271,0.466176,7441.25,0.563,0.278
115.5342744473422,-14.6685548781236,3029590289029032320,15.121,0.3761,0.2194,0.890389,5566.82,,
115.8171326530795,-14.6130109497737,3029588742840538368,14.335,0.568,0.0321,0.626149,6549.0,0.9825,0.5002
115.4850429446096,-14.6205609721836,3029603139571187072,15.278,0.6395,0.0423,0.848393,5746.0,,
115.6812962117697,-14.6254705976243,3029589219574300928,19.506,0.542,0.3538,1.897299,,,
115.444738519429,-14.5509061864293,3029604651399674752,15.532,0.5495,0.0435,0.887851,5484.0,0.462,0.2268
115.5185437232539,-14.6484234942713,3029591113662754048,14.881,0.6145,0.034,0.773104,6328.86,0.434,0.215
115.5352413388999,-14.6586798146361,3029591044943274368,14.907,0.6458,0.0355,0.885145,5678.31,0.6363,0.336
115.5084702428384,-14.624928603233,3029591422900397952,13.605,0.6434,0.0288,0.427948,7622.0,0.4185,0.226
115.5595494339575,-14.6868015641158,3029590014151121280,16.087,0.6347,0.0558,0.980915,5332.33,0.277,0.1363
115.5439767204602,-14.6195293595865,3029591491614744576,18.337,0.7049,0.1928,1.581608,,,
115.5794385234197,-14.5365431926381,3029605368651697024,18.102,0.3782,0.1441,1.566052,,,
115.5737614528682,-14.7043555790247,3029589945431642880,13.809,0.5697,0.0256,0.462226,7629.0,0.6005,0.297
115.9069473783486,-14.4327197079574,3029598565423931648,17.961,0.7148,0.15,1.473768,,,
115.6495322693966,-14.7559357107179,3029585817959736832,18.527,0.7028,0.2077,1.601124,,,
115.495167006537,-14.5572883476838,3029604032924369536,15.555,0.5986,0.0459,0.99913,5624.54,0.4392,0.2447
115.5293687016696,-14.6339071010095,3029591354180916352,14.045,0.5594,0.029,0.550806,7289.25,,
115.5182371930194,-14.5773123712963,3029603758041341440,19.945,0.0977,0.5641,2.192535,,,
115.8416468109372,-14.4729504165227,3029600936245719552,16.808,0.6557,0.0817,1.231554,4843.5,0.4135,0.2057
115.9524436680454,-14.4325479522641,3029598427984978816,18.838,0.499,0.2913,1.691677,,,
115.5117610968169,-14.6070026262375,3029603277010130560,12.82,0.6034,0.0417,0.326223,8335.5,,
115.5046220046555,-14.6046754873388,3029603277010132736,17.396,0.6239,0.1143,1.298424,,,
115.5745394290652,-14.2672070883231,3029618395286563456,19.859,1.3522,0.4583,2.137537,,,
115.5733734886842,-14.576255847651,3029592075735378304,14.709,0.6125,0.0327,0.709456,6406.0,0.364,0.1847
115.4870511141842,-14.5659239583533,3029603654967252224,13.763,0.5325,0.0304,0.522635,7144.82,0.9858,0.4845
115.6246950554634,-14.6610134197437,3029590495187414784,13.202,0.6178,0.0233,0.521014,7104.94,0.9837,0.4785
115.542270271259,-14.6475518010518,3029591079303008128,10.907,0.4985,0.0428,0.163022,8941.0,0.5343,0.2453
115.6704895471405,-14.5169519743495,3029593999880598656,19.945,0.6501,0.4996,2.385489,,,
