#Filename,File Type,Radial Velocity (km/s),Guessed Spectral Type,Guessed [Fe/H],plate,mjd,fiber
spec-7308-56709-0228.fits,sdssdr12,-102.405,K2,0.5,7308,56709,228
spec-7386-56769-0038.fits,sdssdr12,-119.7683333,F6,-1.5,7386,56769,38
spec-7684-57286-0210.fits,sdssdr12,-1.268333333,M5,0.5,7684,57286,210
spec-7423-57135-0806.fits,sdssdr12,-2.761666667,K5+WD2,0,7423,57135,806
spec-7401-56808-0480.fits,sdssdr12,-55.86,K7,0.5,7401,56808,480
spec-5408-56038-0660.fits,sdssdr12,4.645,M8,0,5408,56038,660
spec-7315-56685-0384.fits,sdssdr12,7.591666666,M2,1,7315,56685,384
spec-7678-57282-0179.fits,sdssdr12,-12.12833333,K3,-1,7678,57282,179
spec-7394-57131-0326.fits,sdssdr12,-28.1,K7,0.5,7394,57131,326
spec-7646-57570-0075.fits,sdssdr12,-56.24333333,M3,0.5,7646,57570,75
spec-11353-58467-0850.fits,sdssdr12,15.7225,M3,0.5,11353,58467,850
spec-7731-58130-0044.fits,sdssdr12,-142.25,G5,-0.5,7731,58130,44
spec-7426-56771-0268.fits,sdssdr12,-7.85,M0,-0.5,7426,56771,268
spec-8362-57732-0612.fits,sdssdr12,11.235,M3,-1,8362,57732,612
spec-8369-57451-0534.fits,sdssdr12,-254.4925,G1,-2,8369,57451,534
spec-7394-57131-0776.fits,sdssdr12,25.28166667,M3,-1,7394,57131,776
spec-7674-57359-0949.fits,sdssdr12,22.91166667,M6,-0.5,7674,57359,949
spec-7843-56902-0676.fits,sdssdr12,-37.9675,M0,-0.5,7843,56902,676
spec-7381-56717-0600.fits,sdssdr12,-101.4775,G7+WD3,0,7381,56717,600
spec-7397-57129-0098.fits,sdssdr12,-21.61166667,M4,0.5,7397,57129,98
spec-7382-56991-0020.fits,sdssdr12,35.27833333,M2,1,7382,56991,20
spec-7397-57129-0562.fits,sdssdr12,-164.55,F4,-1.5,7397,57129,562
spec-7751-58081-0754.fits,sdssdr12,-6.538333333,M2,0,7751,58081,754
spec-8730-57672-0656.fits,sdssdr12,-43.29333333,K5+M1,0,8730,57672,656
spec-7293-56741-0408.fits,sdssdr12,-41.9,K5+C4,0,7293,56741,408
spec-7711-57667-0755.fits,sdssdr12,-108.3666667,F2,-0.5,7711,57667,755
spec-7418-57165-0944.fits,sdssdr12,-22.71166667,F8,-1.5,7418,57165,944
spec-7391-56781-0658.fits,sdssdr12,-25.125,M4,0.5,7391,56781,658
spec-7516-56782-0078.fits,sdssdr12,16.515,M3,0.5,7516,56782,78
spec-7297-57040-0424.fits,sdssdr12,-66.00666666,M4,0.5,7297,57040,424
spec-7517-56772-0254.fits,sdssdr12,64.53666666,K3,-1,7517,56772,254
spec-7325-56717-0497.fits,sdssdr12,103.5366667,M2+WD2,0,7325,56717,497
spec-8521-58175-0186.fits,sdssdr12,-19.51,K7+M1,0,8521,58175,186
spec-7833-57286-0536.fits,sdssdr12,-28.57666667,M3,0.5,7833,57286,536
spec-7659-57060-0299.fits,sdssdr12,35.0575,M1,-0.5,7659,57060,299
spec-7726-58154-0642.fits,sdssdr12,-87.41166666,M0,-0.5,7726,58154,642
spec-7607-56902-0877.fits,sdssdr12,-6.5375,M1+WD2,0,7607,56902,877
spec-7434-57166-0398.fits,sdssdr12,-109.7166667,M1,-0.5,7434,57166,398
spec-8179-57429-0910.fits,sdssdr12,32.4,M3,0.5,8179,57429,910
spec-7855-57011-0144.fits,sdssdr12,-50.83333333,M0,0.5,7855,57011,144
spec-8381-57512-0970.fits,sdssdr12,-4.76,M4,0.5,8381,57512,970
spec-7430-57105-0742.fits,sdssdr12,80.63,K7,-0.5,7430,57105,742
spec-10920-58252-0288.fits,sdssdr12,-18.7075,M3,0.5,10920,58252,288
spec-7433-57166-0376.fits,sdssdr12,-187.8716667,F7,-1,7433,57166,376
